Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,USGB090Y,GBTF3MO,GETB1 Index,GJGB3M,shsz300,CPURNSA,ECCPEMUY,CNCPIYOY,ECMSM3,UKMSM41,FED M2,CNMSM2
12/30/2011,0.008532752,0.012144396,0.002458916,-0.031285105,0.001645206,-0.028411147,-0.104604954,0.022887324,1.332657201,-1.230538922,0.340909091,-0.093220339,-0.06971192,-0.002466516,-0.066666667,-0.023809524,0.009176636,0,0.004095072,0.031613801
1/31/2012,0.043583015,0.019620335,0.041058028,0.095036748,0.043907703,0.033525796,0.11121059,-0.011100302,3.445217391,-3.407467532,-0.796610169,-0.009345794,0.050525634,0.004400191,-0.035714286,0.097560976,-0.004172187,-0.04,0.008094477,0.005058767
2/29/2012,0.04058945,0.033423625,0.104598575,0.0614918,0.046656864,0.105244188,-0.023451888,-0.006949349,0.394757433,-0.494268375,-2,0.028301887,0.068937531,0.004402974,0,-0.288888889,0.001081592,0.666666667,0.003664738,0.013170364
3/30/2012,0.031332377,-0.017552555,0.037057606,0.013236427,-0.008295558,0.001793576,-0.016795828,0.003391036,-0.027629734,-0.1,-1.694444444,-0.036697248,-0.068044979,0.007594559,0,0.125,0.010552589,0.175,0.004953948,0.032743354
4/30/2012,-0.007497497,-0.005316853,-0.055800729,-0.02672298,-0.061630172,-0.027750651,-0.002157821,-0.00288593,0.319919227,-0.306666667,-1,0,0.069762516,0.00302103,-0.037037037,-0.055555556,0.000263069,-0.106382979,0.005480654,-0.006656688
5/31/2012,-0.062650671,-0.072662249,-0.102738294,-0.073479669,-0.060940613,-0.147317318,-0.062664064,0.054166244,-0.261173642,0.769230769,0,0.019047619,0.002239011,-0.001173479,-0.076923077,-0.117647059,0.003963003,0.023809524,0.003085731,0.011740954
6/29/2012,0.039554921,0.047039388,0.054321043,0.02424821,0.059542395,-0.039952881,0.023692187,-0.017051407,0.156189913,-0.493961353,-0.16,-0.028037383,-0.064752055,-0.001466397,0,-0.266666667,0.003802851,0.255813953,0.007134039,0.027712275
7/31/2012,0.012597639,0.011511088,-0.034609483,0.055480746,0.02972174,0.072801636,0.010579692,0.012348855,0.18638864,-1,7.095238095,-0.009615385,-0.052278793,-0.001629786,0,-0.181818182,0.003008014,-0.092592593,0.007535644,-0.006398764
8/31/2012,0.019763362,0.013521955,0.016658884,0.029315177,0.036884125,0.091974838,0.048138512,-0.017268712,-0.068039681,#DIV/0!,-0.329411765,0.009708738,-0.054888294,0.005565158,0.083333333,0.111111111,-0.002533911,-0.142857143,0.007249918,0.006334865
9/28/2012,0.02423609,0.00535588,0.003421981,0.035198306,-0.017066746,-0.019027669,0.047334236,-0.015675795,-0.120212889,#DIV/0!,-0.631578947,0.019230769,0.0400205,0.004462212,0,-0.05,0.001293709,-0.095238095,0.008187795,0.020320369
10/31/2012,-0.019789404,0.007075845,0.006553433,0.006163952,0.022191951,-0.032832103,-0.02903335,-0.000200163,0.337848501,#DIV/0!,0.833333333,-0.028301887,-0.016697847,-0.000388925,-0.038461538,-0.105263158,0.005626595,-0.157894737,0.006029598,-0.007719176
11/30/2012,0.002846703,0.014546838,0.057986468,0.019952814,0.037328644,0.023275069,-0.003399878,0.002927965,-0.28467512,#DIV/0!,-0.311688312,0.029126214,-0.051072813,-0.004738087,-0.12,0.176470588,0.000479561,-0.09375,0.005827517,0.009000493
12/31/2012,0.007068311,0.005282248,0.100483696,0.027937344,0.023554514,-0.001078846,-0.023005598,-0.004790838,-0.203655352,-0.484,-0.018867925,0.037735849,0.179135937,-0.002693064,0,0.25,0.004972519,-0.689655172,0.012082452,0.031028148
1/31/2013,0.050428064,0.06427301,0.071521609,0.021499161,0.025138215,0.0399604,-0.006983615,-0.007045343,0.128904228,-2.744186047,-1.884615385,-0.018181818,0.064975525,0.002957304,-0.090909091,-0.2,-0.006177834,-0.222222222,0.002358875,0.018457652
2/28/2013,0.011060603,0.013371293,0.037769355,-0.00441741,-0.002571934,-0.036088273,-0.050533466,0.034618152,0.58896362,0,-1.739130435,-0.314814815,-0.005043024,0.00819003,-0.05,0.6,0.000723477,-1.857142857,-0.00133929,0.006522839
3/29/2013,0.035987799,0.008006842,0.072542944,0.006924836,0.002261617,-0.012210451,0.012136137,0.012532185,-0.393843194,-0.386666667,-0.5,-0.283783784,-0.06667714,0.002614509,-0.105263158,-0.34375,0.005008495,-0.5,0.007557978,0.037309804
4/30/2013,0.018085764,0.002866617,0.117999727,0.01518862,0.033587749,-0.069532812,-0.076309617,-0.014823563,-0.351848913,-1.144927536,1.058823529,0.905660377,-0.019145679,-0.001039639,-0.294117647,0.142857143,0.005031784,-1.333333333,0.003432146,-0.003192039
5/31/2013,0.020762783,0.023789603,-0.006227608,0.054984325,0.023812796,-0.019341604,-0.060152362,0.019927581,-0.185847209,-6.25,-0.085714286,-0.158415842,0.065018326,0.001780408,0.166666667,-0.125,0.000193654,-1,0.003429882,0.009314108
6/28/2013,-0.014999325,-0.055843077,-0.007057949,-0.046667561,-0.0531025,0.017631238,-0.110489077,-0.002866567,0.031278195,1.79047619,-1,0.235294118,-0.155688048,0.002399708,0.142857143,0.285714286,-0.000798618,0,0.005306643,0.011739457
7/31/2013,0.049462111,0.06525492,-0.000658024,0.039796613,0.067875397,0.054228661,0.073450675,-0.020255966,-0.063575386,0.778156997,0,-0.085714286,-0.003462629,0.000393998,0,0,-0.000845364,0.2,0.005532231,-0.002078331
8/30/2013,-0.031298013,-0.031434544,-0.020445819,-0.020882144,-0.014754464,0.058588672,0.052744765,0.007796003,-0.464652756,0.355086372,-0.409090909,-0.052083333,0.055124896,0.001202932,-0.1875,-0.037037037,0.004458279,0.222222222,0.005763339,0.008595319
9/30/2013,0.029749475,0.007686034,0.079688637,0.060624572,0.053297337,-0.049469345,-0.047457263,-0.022731979,-0.686445608,-0.182719547,-0.615384615,-0.56043956,0.04111223,0.001163004,-0.153846154,0.192307692,-0.003865541,0.181818182,0.004931598,0.015192182
10/31/2013,0.04459576,0.041659058,-0.008844893,0.051140277,0.037758481,0.004336994,-0.00439448,-0.000324105,6.235621521,-0.031195841,0.6,0.95,-0.014661442,-0.002575283,-0.363636364,0.032258065,0.001370075,-0.076923077,0.010119774,-0.006624409
11/29/2013,0.028049461,-0.012012306,0.093099915,0.041109507,-0.0010884,0.007809629,-0.052603734,0.006047759,0.43,0.534883721,-4.125,-0.192307692,0.027475861,-0.002042424,0.285714286,-0.0625,0.002834195,0.25,0.000677042,0.008423234
12/31/2013,0.023562833,0.014813768,0.040189326,0.0156146,0.000172285,0.010119427,-0.038173115,-0.007994546,-0.171597633,0.693473193,2.4,-0.015873016,-0.044654645,-8.58115E-05,-0.111111111,-0.166666667,-0.003635559,-0.933333333,0.005248096,0.025265435
1/31/2014,-0.035582895,-0.035360323,-0.084510085,-0.025719837,-0.030314599,-0.039711191,0.032264753,0.015943025,-0.342207792,-0.293874742,-0.576470588,-0.080645161,-0.05475466,0.003720248,0,0,0.000291995,-0.5,0.004429407,0.015360069
2/28/2014,0.043117038,0.045966171,-0.004925398,0.041433496,0.058179618,0.025093985,0.065798883,-0.019923504,0.274103323,0.443469786,0.833333333,-0.140350877,-0.010660855,0.003697909,-0.125,-0.2,0.001258989,10,0.005894924,0.007333728
3/31/2014,0.006932157,-0.031033673,-0.000892119,-0.014049616,-0.003761275,-0.012010635,-0.031987877,0.005132324,-0.211260331,0.278190412,-0.287878788,-0.224489796,-0.014993323,0.006440044,-0.285714286,0.2,0.001407537,-1.090909091,0.004915155,0.025558755
4/30/2014,0.006200797,0.027531042,-0.03532007,0.004951909,0.021835364,0.002876763,0.005872228,-0.007815231,-0.495415848,-0.015847861,-1.914893617,0.210526316,0.005758748,0.003296754,0.4,-0.25,0.002191193,5,0.005267354,0.007000507
5/30/2014,0.021030282,0.009510282,0.022949348,0.03540892,0.007171206,0.012399371,-0.032379699,0.011261545,0.771576898,-0.382179281,-0.906976744,-0.043478261,-0.001019151,0.00349261,-0.285714286,0.388888889,0.007127977,0.333333333,0.006202158,0.011534183
6/30/2014,0.019058313,-0.014693528,0.036201903,-0.011082873,-0.021402479,0.0269628,0.06208541,-0.007390909,-0.015750916,-0.797567333,6.75,-0.159090909,0.004015841,0.001862127,0,-0.08,0.001605379,-0.375,0.004746934,0.023085036
7/31/2014,-0.015079863,-0.00205073,0.030251087,-0.043281498,-0.039951705,-0.056425774,-0.033729621,0.021071764,-0.197990324,-0.515021459,-0.516129032,0.027027027,0.085505653,-0.000390194,-0.2,0,0.003107283,1.2,0.005932076,-0.012680441
8/29/2014,0.037655322,0.013319247,-0.01255892,0.006663846,0.031770031,-0.026693077,0.004109002,0.015861324,-0.300696056,-1,2.533333333,0.078947368,-0.00508882,-0.001670514,0,-0.130434783,0.005019719,0.272727273,0.003180751,0.002721291
9/30/2014,-0.015513859,-0.028891088,0.048554289,0.000436106,0.008034622,-0.08256614,-0.061856471,0.038526611,-0.232249502,#DIV/0!,0.716981132,-0.804878049,0.048197614,0.000752569,-0.25,-0.2,0.00088,0.857142857,0.003170666,0.003801506
10/31/2014,0.023201456,-0.011513396,0.014853909,-0.015561044,-0.041471931,-0.093060104,-0.028704807,0.011415472,-0.081244598,0.06,0.516483516,-4.625,0.023390548,-0.002512278,0.333333333,0,0.00257923,0,0.004693078,-0.002341913
11/28/2014,0.024533584,0.026907631,0.063732502,0.070117842,0.037110007,-0.18297228,-0.005172649,0.016556025,0.54374412,-0.135220126,-0.108695652,-0.586206897,0.119801301,-0.005399418,-0.25,-0.125,0.009223075,0.076923077,0.003327874,0.007813056
12/31/2014,-0.004188512,-0.023284077,-0.00052005,-0.017563634,-0.026748334,-0.182751247,0.014947619,0.021651048,0.196221816,0.912727273,0.333333333,-1.833333333,0.258076345,-0.005670101,-1.666666667,0.071428571,0.012224933,-0.607142857,0.006011764,0.016356695
1/30/2015,-0.031040847,0.02791768,0.012814334,0.090639485,0.077584694,-0.075702076,0.083486657,0.050238731,-0.754966887,0.97338403,0.31097561,-0.9,-0.028106438,-0.004705892,2,-0.466666667,0.00648415,0.818181818,0.005829877,0.011670217
2/27/2015,0.054892506,0.029226302,0.063569379,0.066141653,0.075415106,0.180977543,-0.054954899,0.00515801,1.203742204,0.17822736,0.251162791,-5,0.040312836,0.004343045,-0.5,0.75,0.002104107,0.5,0.01004712,0.011805085
3/31/2015,-0.017396056,-0.024993306,0.021760363,0.049511212,0.016593019,-0.11936721,-0.02435647,0.032153464,1.130188679,0.27473426,0.159851301,-2.25,0.133887888,0.005951722,-0.666666667,0,0.004059603,-0.8,0.001850835,0.01427746
