Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,shsz300,CPURNSA,ECMSM3,FED M2,CNMSM2
5/31/2013,0.020550175,0.023511039,-0.00624708,0.053525909,0.023533693,-0.0195311,-0.062037504,0.019731625,0.062992007,0.001778825,0.000193636,0.003424013,0.009270999
6/28/2013,-0.015112953,-0.057462894,-0.007082974,-0.047791602,-0.054564428,0.017477611,-0.117083492,-0.002870683,-0.169233242,0.002396833,-0.000798937,0.005292612,0.011671084
7/31/2013,0.048277758,0.063214132,-0.00065824,0.03902513,0.065671064,0.052809372,0.07087839,-0.020463931,-0.003468638,0.00039392,-0.000845721,0.005516984,-0.002080494
8/30/2013,-0.031798262,-0.031939213,-0.020657728,-0.02110326,-0.014864394,0.05693658,0.051400815,0.007765771,0.053659145,0.001202209,0.004448371,0.005746794,0.008558589
9/30/2013,0.029315544,0.007656647,0.0766727,0.058857953,0.051925565,-0.050734866,-0.048620304,-0.022994334,0.040289594,0.001162329,-0.003873032,0.004919478,0.015077936
10/31/2013,0.043629978,0.040814691,-0.008884241,0.049875553,0.03706308,0.004327616,-0.004404164,-0.000324157,-0.014769983,-0.002578605,0.001369137,0.010068912,-0.006646447
11/29/2013,0.02766328,-0.012085037,0.089017619,0.040286978,-0.001088993,0.007779292,-0.054037829,0.006029544,0.027105174,-0.002044513,0.002830186,0.000676813,0.008387956
12/31/2013,0.023289515,0.014705116,0.039402741,0.015493947,0.00017227,0.010068569,-0.038920798,-0.008026674,-0.045682376,-8.58E-05,-0.003642184,0.005234373,0.02495154
1/31/2014,-0.036231397,-0.036000639,-0.088295931,-0.026056375,-0.030783589,-0.040521197,0.031755178,0.01581727,-0.056310766,0.003713345,0.000291953,0.004419626,0.015243297
2/28/2014,0.042213382,0.044941024,-0.004937568,0.040598125,0.056550091,0.024784301,0.063724643,-0.020124653,-0.010718089,0.003691088,0.001258197,0.005877617,0.007306967
3/31/2014,0.00690824,-0.031525417,-0.000892517,-0.014149246,-0.003768366,-0.012083346,-0.032510668,0.005119198,-0.015106859,0.006419396,0.001406547,0.004903115,0.025237591
4/30/2014,0.006181651,0.027158878,-0.035958912,0.004939689,0.021600387,0.002872633,0.005855054,-0.00784593,0.005742229,0.003291332,0.002188796,0.00525353,0.006976118
5/30/2014,0.020812198,0.009465344,0.022689973,0.03479644,0.007145616,0.012323128,-0.032915519,0.011198606,-0.00101967,0.003486525,0.007102693,0.006183004,0.011468172
6/30/2014,0.018878979,-0.014802547,0.035562012,-0.011144746,-0.021634833,0.026605709,0.060234344,-0.007418358,0.004007799,0.001860395,0.001604092,0.004735702,0.022822608
7/31/2014,-0.01519472,-0.002052836,0.029802546,-0.044246077,-0.040771689,-0.058080247,-0.034311588,0.020852825,0.082045918,-0.00039027,0.003102465,0.005914551,-0.012761524
8/29/2014,0.03696367,0.013231326,-0.01263845,0.006641741,0.031275804,-0.027055806,0.004100583,0.015736848,-0.005101812,-0.001671911,0.005007162,0.003175703,0.002717595
9/30/2014,-0.015635458,-0.029316653,0.047412348,0.000436011,0.008002516,-0.086174789,-0.063852325,0.037802988,0.047072132,0.000752286,0.000879613,0.00316565,0.003794299
10/31/2014,0.022936394,-0.011580189,0.01474467,-0.015683388,-0.042356432,-0.097679097,-0.029124848,0.011350807,0.023121182,-0.002515439,0.002575909,0.0046821,-0.00234466
11/28/2014,0.024237469,0.026551986,0.061783952,0.067768775,0.036438006,-0.202082256,-0.005186073,0.016420468,0.11315126,-0.005414047,0.009180802,0.003322348,0.007782692
12/31/2014,-0.004197308,-0.023559434,-0.000520186,-0.017719705,-0.02711258,-0.20181176,0.014837004,0.021419993,0.229583844,-0.005686237,0.012150812,0.005993766,0.016224366
1/30/2015,-0.031532822,0.027535086,0.012732925,0.086764207,0.074722142,-0.07872083,0.080184227,0.049017501,-0.028508984,-0.004717,0.006463219,0.00581295,0.011602645
2/27/2015,0.053438871,0.028807356,0.06163059,0.064046199,0.072706732,0.166342522,-0.056522627,0.005144753,0.039521472,0.004333641,0.002101896,0.009996983,0.011735949
3/31/2015,-0.017549145,-0.025310943,0.021526986,0.048324543,0.016456859,-0.12711455,-0.024657995,0.031647361,0.125652336,0.00593408,0.004051385,0.001849124,0.014176497
4/30/2015,0.008484666,0.027319961,0.016165818,-0.043711312,0.002549572,0.192072447,0.000582758,-0.038946241,0.159108326,0.00203081,0.009739255,0.003688021,0.004261479
5/29/2015,0.010436785,0.003413398,0.052060546,-0.003547288,-0.007678283,-0.018437881,0.005204398,0.02409428,0.018964734,0.005084285,0.00347787,0.002903783,0.020539513
6/30/2015,-0.021235662,-0.068658715,-0.016050785,-0.041944912,-0.044442504,-0.030509529,-0.015345396,-0.014782589,-0.079026869,0.003496749,0.000229226,0.00373063,0.01970547
7/31/2015,0.019549693,0.026527477,0.01712446,0.032717995,0.059252745,-0.197182178,-0.067567047,0.019199743,-0.15867315,6.70E-05,0.006974423,0.004473423,0.014766666
8/31/2015,-0.064624716,-0.069300339,-0.085916223,-0.097397778,-0.088323482,0.036483926,0.034962295,-0.015655735,-0.125500664,-0.00141728,-0.000353659,0.004221778,0.002728369
9/30/2015,-0.026798719,-0.030276368,-0.082869152,-0.060161011,-0.043409273,-0.112878187,-0.017548053,0.005474219,-0.049813251,-0.00155797,-0.000561874,0.004377097,0.002146771
10/30/2015,0.079719343,0.048224305,0.093014187,0.116138787,0.094665386,0.02430427,0.024004023,0.006166728,0.098380751,-0.000449785,0.0101289,0.001095403,0.000879653
11/30/2015,0.000504836,-0.000786338,0.034222255,0.047875384,0.012164213,-0.105226008,-0.070162393,0.03271462,0.009106477,-0.002112911,0.006069356,0.008410161,0.009459091
12/31/2015,-0.017685672,-0.0180615,-0.036813764,-0.057798057,-0.066841208,-0.179501059,-0.003151179,-0.015483129,0.045116807,-0.003422948,-0.00010322,0.004910013,0.013247229
1/29/2016,-0.052067641,-0.025724051,-0.082965569,-0.092065801,-0.048615284,-0.070565229,0.052085786,0.00983679,-0.236197427,0.001651737,0.006230567,0.010528242,0.017120279
2/29/2016,-0.0041369,0.002183751,-0.088986224,-0.031382039,-0.014473656,0.034793497,0.102401314,-0.014104178,-0.023567432,0.000822738,0.00311405,0.005474678,0.005842523
3/31/2016,0.063904985,0.01268108,0.044655911,0.048322661,0.007211705,0.096143861,-0.004879736,-0.037608752,0.11187658,0.004296756,0.002471064,0.005810517,0.015033915
4/29/2016,0.002695733,0.010790333,-0.00554202,0.007344388,0.009961485,0.195076565,0.047750102,-0.016028648,-0.019244999,0.004729865,0.009276855,0.006779955,-0.000683612
5/31/2016,0.015213183,-0.001779891,0.033567323,0.022045341,0.017160713,0.031898022,-0.061949455,0.029731305,0.00404976,0.004037629,0.003624556,0.00581651,0.011342426
6/30/2016,0.000905663,0.042964978,-0.101214908,-0.058448662,-0.061356754,-0.000201268,0.084281371,0.002624537,-0.004946653,0.003278984,0.001891249,0.005408274,0.019509342
7/29/2016,0.034990439,0.033279055,0.061823643,0.065706862,0.04664283,-0.157039981,0.021548043,-0.006396332,0.015732058,-0.001619447,0.008408419,0.004750122,0.000715548
8/31/2016,-0.001219919,0.008452627,0.019018007,0.02438608,-0.000358188,0.102435847,-0.031604491,0.005136998,0.037930239,0.000918009,-0.000999013,0.006419536,0.012938552
9/30/2016,-0.001235245,0.017224514,-0.026252031,-0.00773991,0.002259613,0.042045735,0.005166277,-0.005838594,-0.022644702,0.002401111,0.000192834,0.004551501,0.003552756
10/31/2016,-0.019616782,0.007924364,0.057591354,0.014544059,0.013620052,-0.015612478,-0.02965837,0.030759279,0.025192696,0.001245972,0.002851309,0.004110089,0.002058603
11/30/2016,0.033603472,-0.024812727,0.049457236,-0.002319611,0.015203427,0.04394754,-0.084970799,0.030560782,0.058705182,-0.001556672,0.008630994,0.005867402,0.007178389
12/30/2016,0.018037103,0.051573114,0.043076068,0.076050042,0.060177147,0.118509276,-0.018043766,0.006970722,-0.066589237,0.000327268,0.004858929,0.002734982,0.012747849
